,지역명,규모구분,연도,월,분양가격
284,광주,전용면적 102㎡초과,2016,1,2965.1990950226245
285,대전,전체,2016,1,2454.0
286,대전,전용면적 60㎡이하,2016,1,2585.0
287,대전,전용면적 60㎡초과 85㎡이하,2016,1,2428.0
288,대전,전용면적 85㎡초과 102㎡이하,2016,1,2461.0
289,대전,전용면적 102㎡초과,2016,1,2965.1990950226245
290,울산,전체,2016,1,3046.0
291,울산,전용면적 60㎡이하,2016,1,2584.0
292,울산,전용면적 60㎡초과 85㎡이하,2016,1,3053.0
293,울산,전용면적 85㎡초과 102㎡이하,2016,1,2663.0
294,울산,전용면적 102㎡초과,2016,1,2874.0
295,세종,전체,2016,1,2665.0
296,세종,전용면적 60㎡이하,2016,1,2601.0
297,세종,전용면적 60㎡초과 85㎡이하,2016,1,2676.0
298,세종,전용면적 85㎡초과 102㎡이하,2016,1,2661.0
299,세종,전용면적 102㎡초과,2016,1,2752.0
300,강원,전체,2016,1,2173.0
301,강원,전용면적 60㎡이하,2016,1,2290.0
302,강원,전용면적 60㎡초과 85㎡이하,2016,1,2199.0
303,강원,전용면적 85㎡초과 102㎡이하,2016,1,2061.0
304,강원,전용면적 102㎡초과,2016,1,2171.0
305,충북,전체,2016,1,2008.0
306,충북,전용면적 60㎡이하,2016,1,1952.0
307,충북,전용면적 60㎡초과 85㎡이하,2016,1,2021.0
308,충북,전용면적 85㎡초과 102㎡이하,2016,1,2276.0
309,충북,전용면적 102㎡초과,2016,1,2261.0
310,충남,전체,2016,1,2270.0
311,충남,전용면적 60㎡이하,2016,1,2481.0
312,충남,전용면적 60㎡초과 85㎡이하,2016,1,2281.0
313,충남,전용면적 85㎡초과 102㎡이하,2016,1,2541.0
314,충남,전용면적 102㎡초과,2016,1,2444.0
315,전북,전체,2016,1,1980.0
316,전북,전용면적 60㎡이하,2016,1,1908.0
317,전북,전용면적 60㎡초과 85㎡이하,2016,1,1987.0
318,전북,전용면적 85㎡초과 102㎡이하,2016,1,2377.0
319,전북,전용면적 102㎡초과,2016,1,2282.0
320,전남,전체,2016,1,1909.0
321,전남,전용면적 60㎡이하,2016,1,1999.0
322,전남,전용면적 60㎡초과 85㎡이하,2016,1,1906.0
323,전남,전용면적 85㎡초과 102㎡이하,2016,1,2262.0
324,전남,전용면적 102㎡초과,2016,1,2176.0
325,경북,전체,2016,1,2181.0
326,경북,전용면적 60㎡이하,2016,1,2178.0
327,경북,전용면적 60㎡초과 85㎡이하,2016,1,2185.0
328,경북,전용면적 85㎡초과 102㎡이하,2016,1,2516.0
329,경북,전용면적 102㎡초과,2016,1,2346.0
330,경남,전체,2016,1,2327.0
331,경남,전용면적 60㎡이하,2016,1,2270.0
332,경남,전용면적 60㎡초과 85㎡이하,2016,1,2348.0
333,경남,전용면적 85㎡초과 102㎡이하,2016,1,2925.0
334,경남,전용면적 102㎡초과,2016,1,2828.0
335,제주,전체,2016,1,2268.0
336,제주,전용면적 60㎡이하,2016,1,2965.1990950226245
337,제주,전용면적 60㎡초과 85㎡이하,2016,1,2260.0
338,제주,전용면적 85㎡초과 102㎡이하,2016,1,2583.0
339,제주,전용면적 102㎡초과,2016,1,2574.0
340,서울,전체,2016,2,6111.0
341,서울,전용면적 60㎡이하,2016,2,6438.0
342,서울,전용면적 60㎡초과 85㎡이하,2016,2,6039.0
343,서울,전용면적 85㎡초과 102㎡이하,2016,2,6513.0
344,서울,전용면적 102㎡초과,2016,2,6458.0
345,인천,전체,2016,2,3192.0
346,인천,전용면적 60㎡이하,2016,2,3328.0
347,인천,전용면적 60㎡초과 85㎡이하,2016,2,3112.0
348,인천,전용면적 85㎡초과 102㎡이하,2016,2,3545.0
349,인천,전용면적 102㎡초과,2016,2,3408.0
350,경기,전체,2016,2,3219.0
351,경기,전용면적 60㎡이하,2016,2,3294.0
352,경기,전용면적 60㎡초과 85㎡이하,2016,2,3268.0
353,경기,전용면적 85㎡초과 102㎡이하,2016,2,3381.0
354,경기,전용면적 102㎡초과,2016,2,3669.0
355,부산,전체,2016,2,3154.0
356,부산,전용면적 60㎡이하,2016,2,2999.0
357,부산,전용면적 60㎡초과 85㎡이하,2016,2,3060.0
358,부산,전용면적 85㎡초과 102㎡이하,2016,2,2957.0
359,부산,전용면적 102㎡초과,2016,2,3812.0
360,대구,전체,2016,2,3064.0
361,대구,전용면적 60㎡이하,2016,2,3341.0
362,대구,전용면적 60㎡초과 85㎡이하,2016,2,3079.0
363,대구,전용면적 85㎡초과 102㎡이하,2016,2,2532.0
364,대구,전용면적 102㎡초과,2016,2,2743.0
365,광주,전체,2016,2,2569.0
366,광주,전용면적 60㎡이하,2016,2,2395.0
367,광주,전용면적 60㎡초과 85㎡이하,2016,2,2582.0
368,광주,전용면적 85㎡초과 102㎡이하,2016,2,2965.1990950226245
369,광주,전용면적 102㎡초과,2016,2,2965.1990950226245
370,대전,전체,2016,2,2454.0
371,대전,전용면적 60㎡이하,2016,2,2585.0
372,대전,전용면적 60㎡초과 85㎡이하,2016,2,2428.0
373,대전,전용면적 85㎡초과 102㎡이하,2016,2,2461.0
374,대전,전용면적 102㎡초과,2016,2,2965.1990950226245
375,울산,전체,2016,2,3046.0
376,울산,전용면적 60㎡이하,2016,2,2584.0
377,울산,전용면적 60㎡초과 85㎡이하,2016,2,3053.0
378,울산,전용면적 85㎡초과 102㎡이하,2016,2,2663.0
379,울산,전용면적 102㎡초과,2016,2,2874.0
380,세종,전체,2016,2,2665.0
381,세종,전용면적 60㎡이하,2016,2,2601.0
382,세종,전용면적 60㎡초과 85㎡이하,2016,2,2676.0
383,세종,전용면적 85㎡초과 102㎡이하,2016,2,2661.0
384,세종,전용면적 102㎡초과,2016,2,2752.0
385,강원,전체,2016,2,2173.0
386,강원,전용면적 60㎡이하,2016,2,2290.0
387,강원,전용면적 60㎡초과 85㎡이하,2016,2,2200.0
388,강원,전용면적 85㎡초과 102㎡이하,2016,2,2965.1990950226245
389,강원,전용면적 102㎡초과,2016,2,2350.0
390,충북,전체,2016,2,2008.0
391,충북,전용면적 60㎡이하,2016,2,1952.0
392,충북,전용면적 60㎡초과 85㎡이하,2016,2,2021.0
393,충북,전용면적 85㎡초과 102㎡이하,2016,2,2276.0
394,충북,전용면적 102㎡초과,2016,2,2261.0
395,충남,전체,2016,2,2272.0
396,충남,전용면적 60㎡이하,2016,2,2496.0
397,충남,전용면적 60㎡초과 85㎡이하,2016,2,2282.0
398,충남,전용면적 85㎡초과 102㎡이하,2016,2,2541.0
399,충남,전용면적 102㎡초과,2016,2,2444.0
400,전북,전체,2016,2,1980.0
401,전북,전용면적 60㎡이하,2016,2,1908.0
402,전북,전용면적 60㎡초과 85㎡이하,2016,2,1987.0
403,전북,전용면적 85㎡초과 102㎡이하,2016,2,2377.0
404,전북,전용면적 102㎡초과,2016,2,2283.0
405,전남,전체,2016,2,1923.0
406,전남,전용면적 60㎡이하,2016,2,1999.0
407,전남,전용면적 60㎡초과 85㎡이하,2016,2,1921.0
408,전남,전용면적 85㎡초과 102㎡이하,2016,2,2262.0
409,전남,전용면적 102㎡초과,2016,2,2176.0
410,경북,전체,2016,2,2179.0
411,경북,전용면적 60㎡이하,2016,2,2172.0
412,경북,전용면적 60㎡초과 85㎡이하,2016,2,2191.0
413,경북,전용면적 85㎡초과 102㎡이하,2016,2,2532.0
414,경북,전용면적 102㎡초과,2016,2,2346.0
415,경남,전체,2016,2,2358.0
416,경남,전용면적 60㎡이하,2016,2,2361.0
417,경남,전용면적 60㎡초과 85㎡이하,2016,2,2375.0
418,경남,전용면적 85㎡초과 102㎡이하,2016,2,2925.0
419,경남,전용면적 102㎡초과,2016,2,2673.0
420,제주,전체,2016,2,2268.0
421,제주,전용면적 60㎡이하,2016,2,2965.1990950226245
422,제주,전용면적 60㎡초과 85㎡이하,2016,2,2260.0
423,제주,전용면적 85㎡초과 102㎡이하,2016,2,2583.0
424,제주,전용면적 102㎡초과,2016,2,2574.0
425,서울,전체,2016,3,6173.0
426,서울,전용면적 60㎡이하,2016,3,6550.0
427,서울,전용면적 60㎡초과 85㎡이하,2016,3,6127.0
428,서울,전용면적 85㎡초과 102㎡이하,2016,3,7179.0
429,서울,전용면적 102㎡초과,2016,3,6371.0
430,인천,전체,2016,3,3190.0
431,인천,전용면적 60㎡이하,2016,3,3323.0
432,인천,전용면적 60㎡초과 85㎡이하,2016,3,3111.0
433,인천,전용면적 85㎡초과 102㎡이하,2016,3,3545.0
434,인천,전용면적 102㎡초과,2016,3,3408.0
435,경기,전체,2016,3,3215.0
436,경기,전용면적 60㎡이하,2016,3,3441.0
437,경기,전용면적 60㎡초과 85㎡이하,2016,3,3259.0
438,경기,전용면적 85㎡초과 102㎡이하,2016,3,3363.0
439,경기,전용면적 102㎡초과,2016,3,3680.0
440,부산,전체,2016,3,3178.0
441,부산,전용면적 60㎡이하,2016,3,2951.0
442,부산,전용면적 60㎡초과 85㎡이하,2016,3,3102.0
443,부산,전용면적 85㎡초과 102㎡이하,2016,3,2957.0
444,부산,전용면적 102㎡초과,2016,3,3727.0
445,대구,전체,2016,3,3119.0
446,대구,전용면적 60㎡이하,2016,3,3341.0
447,대구,전용면적 60㎡초과 85㎡이하,2016,3,3154.0
448,대구,전용면적 85㎡초과 102㎡이하,2016,3,2539.0
449,대구,전용면적 102㎡초과,2016,3,2743.0
450,광주,전체,2016,3,2590.0
451,광주,전용면적 60㎡이하,2016,3,2470.0
452,광주,전용면적 60㎡초과 85㎡이하,2016,3,2601.0
453,광주,전용면적 85㎡초과 102㎡이하,2016,3,2965.1990950226245
